Title,Artist,Period,Complexity,Relevance
Landing at Newfoundland,Robert Charles Dudley,Realism,6,10
Making the Splice between the Shore End and the Ocean Cable,Robert Charles Dudley,Realism,6,6
"Portrait of a Woman, Said to Be Madame Recamier (1777-1849)",Nicolas Francois Dun,Romanticism,1,5
"Madame de Saint-Morys (Eleonore Elisabeth Angelique de Beauterne, 1742-1824)",Joseph Siffred Duplessis,Neoclassicism,8,1
Benjamin Franklin (1706-1790),Joseph Siffred Duplessis,Neoclassicism,6,6
Cows Crossing a Ford,Jules Dupre,Romanticism,4,1
Salvator Mundi,Albrecht Durer,Renaissance,5,8
Virgin and Child with Saint Anne,Albrecht Durer,Renaissance,5,4
"James Stuart (1612-1655), Duke of Richmond and Lennox",Anthony van Dyck,Baroque,10,2
Lucas van Uffel (died 1637),Anthony van Dyck,Baroque,9,2
"Portrait of a Woman, Called the Marchesa Durazzo",Anthony van Dyck,Baroque,9,1
"Robert Rich (1587-1658), Second Earl of Warwick",Anthony van Dyck,Baroque,10,1
Saint Rosalie Interceding for the Plague-stricken of Palermo,Anthony van Dyck,Baroque,8,5
Study Head of a Young Woman,Anthony van Dyck,Baroque,4,6
Study Head of an Old Man with a White Beard,Anthony van Dyck,Baroque,5,5
Virgin and Child with Saint Catherine of Alexandria,Anthony van Dyck,Baroque,8,5
A Man Mounting a Horse,Anthony van Dyck,Baroque,2,5
A Man Riding a Horse,Anthony van Dyck,Baroque,2,8
Isaac Blessing Jacob,Gerbrand van den Eeckhout,Baroque,9,6
A Musical Party,Gerbrand van den Eeckhout,Baroque,5,10
Conversation Piece (The Sense of Smell),Jan Ekels the Younger,Neoclassicism,6,1
The Crucifixion with Donors and Saints Peter and Margaret of Antioch,Cornelis Engebrechtsz,Renaissance,7,7
"Mrs. Peter De Lancey (Elizabeth Colden, 1720-1784)",George Engleheart,Neoclassicism,1,1
Colonel Woodford,George Engleheart,Neoclassicism,1,5
"Portrait of a Man, Said to Be Mr. De Wolf",George Engleheart,Romanticism,1,1
The Crucifixion; The Last Judgment,Jan van Eyck,Renaissance,3,3
Virgin and Child in a Niche,Netherlandish Painter,Renaissance,4,1
A Donor Presented by a Saint,Dieric Bouts,Renaissance,2,5
Heinrich(?) vom Rhein zum Mohren (1477-1536),Conrad Faber von Creuznach,Renaissance,4,1
Abraham Dismissing Hagar and Ishmael,Barent Fabritius,Baroque,4,1
Flowers by a Stone Vase,Peter Faes,Neoclassicism,4,7
Flowers in a Stone Vase,Peter Faes,Neoclassicism,4,6
Still Life with Roses and Fruit,Henri Fantin-Latour,Realism,3,1
Still Life with Flowers and Fruit,Henri Fantin-Latour,Realism,6,8
Still Life with Pansies,Henri Fantin-Latour,Impressionism,5,7
The Palace of Aurora,Henri Fantin-Latour,Expressionism,4,9
"The Coronation of the Virgin, and Saints",Giovanni di Tano Fei,Gothic,10,1
The Parable of the Mote and the Beam,Domenico Fetti,Baroque,5,1
Still Life,Georg Flegel,Baroque,3,10
Bearded Man with a Velvet Cap,Govert Flinck,Baroque,5,1
Portrait of a Prelate,Lavinia Fontana,Renaissance,1,1
Mirope Savati Gaye,Mariano Fortuny Marsal,Realism,9,1
The Cascade,Jean Honore Fragonard,Neoclassicism,2,10
Roman Interior,Jean Honore Fragonard,Baroque,5,1
The Love Letter,Jean Honore Fragonard,Neoclassicism,7,8
Marie Emilie Coignet de Courson (1716-1806) with a Dog,Jean Honore Fragonard,Neoclassicism,7,1
A Shaded Avenue,Jean Honore Fragonard,Neoclassicism,2,1
The Stolen Kiss,Jean Honore Fragonard,Baroque,5,1
The Two Sisters,Jean Honore Fragonard,Neoclassicism,6,9
Allegory of Vigilance,Jean Honore Fragonard,Neoclassicism,6,1
Portrait of a Boy,Marie Anne Gerard Fragonard (Madame Fragonard),Neoclassicism,1,1
Gathering Olives at Tivoli,Francois-Louis Francais,Realism,10,2
Goddess of Chaste Love,Francesco di Giorgio Martini,Renaissance,4,2
Saint Roch,Francesco Francia,Renaissance,10,9
Federico Gonzaga (1500-1540),Francesco Francia,Renaissance,4,2
Madonna and Child with Saints Francis and Jerome,Francesco Francia,Renaissance,6,2
The Perussis Altarpiece,Nicolas Froment,Renaissance,8,7
Holy Family with Saint Anne,French Painter,Baroque,6,5
The Restoration of the Catholic Religion in Strasbourg,Claude Guy Halle,Baroque,5,7
Panthers of Bacchus Eating Grapes,Alexandre Francois Desportes,Baroque,2,1
Study of a Nude Man,Pierre Narcisse Guerin,Romanticism,7,6
Jerusalem from the Mount of Olives,Charles-Theodore Frere,Impressionism,8,7
The Arab Falconer,Eugene Fromentin,Realism,8,1
Arabs Crossing a Ford,Eugene Fromentin,Impressionism,5,5
"Maria Louisa (1745-1792), Holy Roman Empress, German Queen, Queen of Hungary and Bohemia, and Grand Duchess of Tuscany",Heinrich Friedrich Fuger,Neoclassicism,1,5
The Night-Hag Visiting Lapland Witches,Henry Fuseli,Neoclassicism,9,1
A Partridge and Small Game Birds,Jan Fyt,Baroque,4,1
The Trinity,Agnolo Gaddi,Gothic,8,10
Saint Margaret and the Dragon,Agnolo Gaddi,Gothic,2,1
Madonna and Child Enthroned with Saints,Taddeo Gaddi,Gothic,10,1
Charles Rousseau Burney (1747-1819),Thomas Gainsborough,Neoclassicism,7,1
A Boy with a Cat-Morning,Thomas Gainsborough,Neoclassicism,9,7
Mrs. Grace Dalrymple Elliott (1754?-1823),Thomas Gainsborough,Neoclassicism,10,5
"Portrait of a Young Woman, Called Miss Sparrow",Thomas Gainsborough,Neoclassicism,6,1
Cottage Children (The Wood Gatherers),Thomas Gainsborough,Neoclassicism,9,1
Wooded Upland Landscape,Thomas Gainsborough,Neoclassicism,9,1
The Painter's Daughter Mary (1750-1826),Thomas Gainsborough,Expressionism,4,1
Saint Nicholas of Tolentino Reviving the Birds,Garofalo (Benvenuto Tisi da Garofalo),Renaissance,4,4
Saint Nicholas of Tolentino Reviving a Child,Garofalo (Benvenuto Tisi da Garofalo),Renaissance,4,1
The Translation of the Holy House of Loreto,Saturnino Gatti,Renaissance,6,5
Two Tahitian Women,Paul Gauguin,Impressionism,8,7
A Farm in Brittany,Paul Gauguin,Impressionism,7,1
The Siesta,Paul Gauguin,Impressionism,9,9
Tahitian Landscape,Paul Gauguin,Impressionism,5,1
Esther before Ahasuerus,Artemisia Gentileschi,Baroque,10,1
Alfred Dedreux (1810-1860) as a Child,Theodore Gericault,Romanticism,4,1
Evening: Landscape with an Aqueduct,Theodore Gericault,Romanticism,10,1
"Cafe House, Cairo (Casting Bullets)",Jean-Leon Gerome,Impressionism,6,1
Prayer in the Mosque,Jean-Leon Gerome,Impressionism,7,9
Pygmalion and Galatea,Jean-Leon Gerome,Impressionism,7,7
Tiger and Cubs,Jean-Leon Gerome,Impressionism,8,7
The Burial of Saint Zenobius,Davide Ghirlandaio (David Bigordi),Renaissance,2,1
The Marriage of the Virgin,Davide Ghirlandaio (David Bigordi),Renaissance,2,9
Tobias and the Angel,Davide Ghirlandaio (David Bigordi),Renaissance,2,8
Francesco Sassetti (1421-1490) and His Son Teodoro,Domenico Ghirlandaio (Domenico Bigordi),Renaissance,7,1
Selvaggia Sassetti (born 1470),Davide Ghirlandaio (David Bigordi),Renaissance,5,3
Saint John the Evangelist Raises Satheus to Life,Francescuccio Ghissi (Francesco di Cecco Ghissi),Gothic,3,3
Saint John the Evangelist with Acteus and Eugenius,Francescuccio Ghissi (Francesco di Cecco Ghissi),Gothic,3,3
Saint John the Evangelist Causes a Pagan Temple to Collapse,Francescuccio Ghissi (Francesco di Cecco Ghissi),Gothic,3,1
"Portrait of a Man, Said to Be John Cecil (1628-1678), Fourth Earl of Exeter",Richard Gibson,Baroque,1,3
The Flight into Egypt,Luca Giordano,Baroque,5,10
Madonna and Child with Donors,Giovanni da Milano,Gothic,8,1
Madonna and Child with Saints,Giovanni di Paolo (Giovanni di Paolo di Grazia),Renaissance,9,1
Madonna and Child with Two Angels and a Donor,Giovanni di Paolo (Giovanni di Paolo di Grazia),Renaissance,9,1
Paradise,Giovanni di Paolo (Giovanni di Paolo di Grazia),Renaissance,4,10
The Presentation of Christ in the Temple,Giovanni di Paolo (Giovanni di Paolo di Grazia),Renaissance,4,1
"Saints Catherine of Alexandria, Barbara, Agatha, and Margaret",Giovanni di Paolo (Giovanni di Paolo di Grazia),Renaissance,2,1
Saints Matthew and Francis,Giovanni di Paolo (Giovanni di Paolo di Grazia),Renaissance,9,1
The Triumph of Fame; (reverse) Impresa of the Medici Family and Arms of the Medici and Tornabuoni Families,Giovanni di ser Giovanni Guidi (called Scheggia),Renaissance,8,1
Before the Mirror,Pierre-Paul-Leon Glaize,Impressionism,8,9
"Marie Adelaide de Savoie (1685-1712), Duchesse de Bourgogne",Pierre Gobert,Baroque,6,1
Sunflowers,Vincent van Gogh,Impressionism,5,9
Bouquet of Flowers in a Vase,Vincent van Gogh,Impressionism,6,1
"First Steps, after Millet",Vincent van Gogh,Impressionism,7,1
The Flowering Orchard,Vincent van Gogh,Impressionism,6,2
Irises,Vincent van Gogh,Impressionism,8,10
"L'Arlesienne: Madame Joseph-Michel Ginoux (Marie Julien, 1848-1911)",Vincent van Gogh,Impressionism,8,1
Oleanders,Vincent van Gogh,Impressionism,6,7
Peasant Woman Cooking by a Fireplace,Vincent van Gogh,Impressionism,4,1
Self-Portrait with a Straw Hat (obverse: The Potato Peeler),Vincent van Gogh,Impressionism,3,1
Shoes,Vincent van Gogh,Impressionism,5,10
Roses,Vincent van Gogh,Impressionism,8,10
Wheat Field with Cypresses,Vincent van Gogh,Impressionism,8,1
Women Picking Olives,Vincent van Gogh,Impressionism,7,1
Madonna and Child with the Annunciation and the Nativity,Goodhart Ducciesque Master,Gothic,2,1
Sebastian Martinez y Perez (1747-1800),Goya (Francisco de Goya y Lucientes),Neoclassicism,7,1
"Ignacio Garcini y Queralt (1752-1825), Brigadier of Engineers",Goya (Francisco de Goya y Lucientes),Romanticism,8,7
Josefa de Castilla Portugal y van Asbrock de Garcini (1775-about 1850),Goya (Francisco de Goya y Lucientes),Romanticism,8,5
"Tiburcio Perez y Cuervo (1785/86-1841), the Architect",Goya (Francisco de Goya y Lucientes),Romanticism,8,5
Manuel Osorio Manrique de Zuniga (1784-1792),Goya (Francisco de Goya y Lucientes),Neoclassicism,9,1
"Jose Costa y Bonells (died l870), Called Pepito",Goya (Francisco de Goya y Lucientes),Romanticism,8,5
Majas on a Balcony,Goya (Francisco de Goya y Lucientes),Neoclassicism,10,7
Sandy Road with a Farmhouse,Jan van Goyen,Baroque,3,6
Country House near the Water,Jan van Goyen,Baroque,3,7
The Pelkus Gate near Utrecht,Jan van Goyen,Baroque,4,5
View of Haarlem and the Haarlemmer Meer,Jan van Goyen,Baroque,4,5
Castle by a River,Jan van Goyen,Baroque,7,10
"Saints Nicholas of Tolentino, Roch, Sebastian, and Bernardino of Siena, with Kneeling Donors",Benozzo Gozzoli (Benozzo di Lese di Sandro),Renaissance,6,2
Scenes from the Life of Saint John the Baptist,Francesco Granacci (Francesco di Andrea di Marco),Renaissance,9,1
Saint John the Baptist Bearing Witness,Francesco Granacci,Renaissance,9,3
The Choir of the Capuchin Church in Rome,Francois Marius Granet,Romanticism,10,4
Christ Healing the Blind,El Greco (Domenikos Theotokopoulos),Renaissance,9,3
Cardinal Fernando Nino de Guevara (1541-1609),El Greco (Domenikos Theotokopoulos),Renaissance,10,2
View of Toledo,El Greco (Domenikos Theotokopoulos),Renaissance,9,7
The Vision of Saint John,El Greco (Domenikos Theotokopoulos),Baroque,10,2
Saint Andrew,El Greco,Baroque,8,9
Broken Eggs,Jean-Baptiste Greuze,Baroque,8,10
Aegina Visited by Jupiter,Jean-Baptiste Greuze,Neoclassicism,10,2
"Charles Claude de Flahaut (1730-1809), Comte d'Angiviller",Jean-Baptiste Greuze,Neoclassicism,6,2
Head of a Young Woman,Jean-Baptiste Greuze,Neoclassicism,3,7
Study of a Woman's Head,Jean-Baptiste Greuze,Neoclassicism,4,4
"Madame Jean-Baptiste Nicolet (Anne Antoinette Desmoulins, 1743-1817)",Jean-Baptiste Greuze,Neoclassicism,6,2
Princess Varvara Nikolaevna Gagarina (1762-1802),Jean-Baptiste Greuze,Neoclassicism,7,4
Jean Jacques Caffieri (1725-1792),Jean-Baptiste Greuze,Neoclassicism,5,4
Head of a Young Boy,Jean-Baptiste Greuze,Neoclassicism,4,10
"The Empress Elizabeth of Russia (1709-1762) on Horseback, Attended by a Page",Georg Christoph Grooth,Baroque,7,1
Fantastic Landscape,Francesco Guardi,Neoclassicism,10,4
Venice from the Bacino di San Marco,Francesco Guardi,Neoclassicism,10,1
Santa Maria della Salute,Francesco Guardi,Baroque,6,8
The Grand Canal above the Rialto,Francesco Guardi,Baroque,4,4
Samson Captured by the Philistines,Guercino (Giovanni Francesco Barbieri),Baroque,10,1
The Vocation of Saint Aloysius (Luigi) Gonzaga,Guercino (Giovanni Francesco Barbieri),Baroque,10,1
"Alexandre Theodore Victor (1760-1829), Comte de Lameth",Jean Urbain Guerin,Neoclassicism,1,1
An Allegory,Domenico Guidobono,Baroque,10,6
In the Studio,Hugo von Habermann,Impressionism,8,10
The Painter Louis Joseph Maurice (1730-1820),Peter Adolf Hall,Neoclassicism,1,1
A Banquet,Dirck Hals,Baroque,5,10
Young Man and Woman in an Inn,Frans Hals,Baroque,8,1
Portrait of a Bearded Man with a Ruff,Frans Hals,Baroque,6,1
"Anna van der Aar (born 1576/77, died after 1626)",Frans Hals,Baroque,2,1
Petrus Scriverius (1576-1660),Frans Hals,Baroque,2,1
Paulus Verschuur (1606-1667),Frans Hals,Baroque,9,1
"Portrait of a Man, Possibly Nicolaes Pietersz Duyst van Voorhout (born about 1600, died 1650)",Frans Hals,Baroque,7,1
Merrymakers at Shrovetide,Frans Hals,Baroque,9,1
The Smoker,Frans Hals,Baroque,4,10
Boy with a Lute,Frans Hals,Baroque,6,1
Frans Hals (1582/83-1666),Frans Hals,Baroque,3,1
Moonrise,Henri-Joseph Harpignies,Impressionism,9,8
"Ali Pasha (born about 1741, died 1822)",Jacob Ritter von Hartmann,Romanticism,1,1
A Vase of Flowers,Margareta Haverman,Baroque,6,7
Agnes Sewell,Thomas Hazlehurst,Neoclassicism,1,1
Still Life with a Glass and Oysters,Jan Davidsz de Heem,Baroque,2,1
Still Life: A Banqueting Scene,Jan Davidsz de Heem,Baroque,10,1
"Jacob Willemsz van Veen (1456-1535), the Artist's Father",Maarten van Heemskerck,Renaissance,4,1
Henriette Sontag (1806-1854),Franz Napoleon Heigel,Romanticism,1,1
The Musician,Bartholomeus van der Helst,Baroque,9,10
A Bather (Echo),Jean-Jacques Henner,Impressionism,8,3
The Huis ten Bosch at The Hague and Its Formal Garden (View from the South),Jan van der Heyden,Baroque,4,1
The Huis ten Bosch at The Hague and Its Formal Garden (View from the East),Jan van der Heyden,Baroque,4,1
"Portrait of a Young Man, Probably Robert Devereux (1566-1601), Second Earl of Essex",Nicholas Hilliard,Renaissance,1,4
Entrance to a Village,Meyndert Hobbema,Baroque,8,10
Woodland Road,Meyndert Hobbema,Baroque,9,10
Emma Alexander Sheafer (1891-1973),Hoey(?),Expressionism,8,3
The Wedding of Stephen Beckingham and Mary Cox,William Hogarth,Baroque,9,1
"Benedikt von Hertenstein (born about 1495, died 1522)",Hans Holbein the Younger,Renaissance,4,3
Hermann von Wedigh III (died 1560),Hans Holbein the Younger,Renaissance,3,1
Derick Berck of Cologne,Hans Holbein the Younger,Renaissance,4,1
Portrait of a Man in Royal Livery,Hans Holbein the Younger,Renaissance,1,1
William Roper (1493/94-1578),Hans Holbein the Younger,Renaissance,1,6
"Margaret Roper (Margaret More, 1505-1544)",Hans Holbein the Younger,Renaissance,1,1
"Thomas Wriothesley (1505-1550), First Earl of Southampton",Hans Holbein the Younger,Renaissance,1,1
"Lady Lee (Margaret Wyatt, born about 1509)",Hans Holbein the Younger,Renaissance,3,1
Portrait of a Man (Sir Ralph Sadler?),Hans Holbein the Younger,Renaissance,2,1
"Lady Rich (Elizabeth Jenks, died 1558)",Hans Holbein the Younger,Renaissance,3,1
"Edward VI (1537-1553), When Duke of Cornwall",Hans Holbein the Younger,Renaissance,2,1
Peacocks,Melchior d' Hondecoeter,Baroque,10,9
Christ among the Doctors,Abraham Hondius,Baroque,4,8
"Portrait of a Woman, Said to Be Lady Agnes Anne Wrothesley",Horace Hone,Neoclassicism,1,3
Interior with a Young Couple,Pieter de Hooch,Baroque,6,4
"Woman with a Water Pitcher, and a Man by a Bed",Pieter de Hooch,Baroque,5,3
Paying the Hostess,Pieter de Hooch,Baroque,9,8
The Visit,Pieter de Hooch,Baroque,6,10
A Woman and Two Men in an Arbor,Pieter de Hooch,Baroque,4,1
The Annunciation of the Death of the Virgin,Samuel van Hoogstraten,Baroque,6,1
Lady Hester King (died 1873),John Hoppner,Romanticism,6,1
Major Thomas Pechell (1753-1826),John Hoppner,Neoclassicism,6,1
"Mrs. John Garden (Ann Garden, 1769-1842) and Her Children, John (1796-1854) and Ann Margaret (born 1793)",John Hoppner,Neoclassicism,9,5
"Mrs. Richard Bache (Sarah Franklin, 1743-1808)",John Hoppner,Neoclassicism,6,1
"Mrs. Thomas Pechell (Charlotte Clavering, died 1841)",John Hoppner,Neoclassicism,6,5
"Portrait of a Woman; (reverse, now covered by relining canvas) Study of a Child's Head",John Hoppner,Neoclassicism,6,1
The Sackville Children,John Hoppner,Neoclassicism,10,7
A Musical Gathering at the Court of the Elector Karl Albrecht of Bavaria,Peter Jacob Horemans,Baroque,8,1
Endymion Porter (1587-1649),John Hoskins,Baroque,1,1
"Portrait of a Man, Said to Be Philip Wharton (1613-1696), Fourth Baron Wharton",John Hoskins,Baroque,1,6
"Dr. Brian Walton (born about 1600, died 1661)",John Hoskins,Baroque,1,1
Still Life: A Basket of Grapes and Other Fruit,Jacob van Hulsdonck,Baroque,5,6
"Madame Jacques-Louis Leblanc (Francoise Poncelle, 1788-1839)",Jean Auguste Dominique Ingres,Romanticism,9,5
Edmond Cave (1794-1852),Jean Auguste Dominique Ingres,Realism,3,5
Jacques-Louis Leblanc (1774-1846),Jean Auguste Dominique Ingres,Romanticism,9,5
"Madame Edmond Cave (Marie-Elisabeth Blavot, born 1810)",Jean Auguste Dominique Ingres,Romanticism,3,1
Odalisque in Grisaille,Jean Auguste Dominique Ingres,Romanticism,8,1
Ingres (1780-1867) as a Young Man,Laurence-Augustine Jube Hequet (Madame Hequet),Realism,7,1
The Reader,Jean-Baptiste Isabey,Neoclassicism,1,10
"Madame Jean-Baptiste Isabey (Jeanne Laurice de Salienne, died 1829)",Jean-Baptiste Isabey,Neoclassicism,1,1
Napoleon I (1769-1821),Jean-Baptiste Isabey,Romanticism,1,1
"Mrs. Rufus Prime (Augusta Temple Palmer, 1807-1840)",Jean-Baptiste Isabey,Romanticism,1,1
"Christ Crowned with Thorns (Ecce Homo), and the Mourning Virgin",Adriaen Isenbrant,Renaissance,8,3
Man Weighing Gold,Adriaen Isenbrant,Renaissance,4,1
The Life of the Virgin,Adriaen Isenbrant,Renaissance,2,9
Michelangelo Buonarroti (1475-1564),Daniele da Volterra,Renaissance,7,1
The Sheepfold,Charles Jacque,Realism,6,8
The Dead Christ in the Tomb with Two Angels,Abraham Janssen van Nuyssen,Baroque,9,1
Capriccio with St. Paul's and Old London Bridge,Antonio Joli,Baroque,9,1
Scene in a Courtyard,Ludolf de Jongh,Baroque,7,1
Honfleur,Johan Barthold Jongkind,Realism,6,9
The Pont Neuf,Johan Barthold Jongkind,Realism,6,8
Portrait of a Man with a Watch,Cornelis Jonson van Ceulen the Younger,Baroque,7,1
The Crucifixion with Saints and a Donor,Joos van Cleve,Renaissance,8,1
The Holy Family,Joos van Cleve,Renaissance,3,9
The Last Judgment,Joos van Cleve,Renaissance,9,10
The Holy Family with Shepherds,Jacob Jordaens,Baroque,8,1
The Holy Family with Saint Anne and the Young Baptist and His Parents,Jacob Jordaens,Baroque,10,1
The Marriage Feast at Cana,Juan de Flandes,Renaissance,1,3
Saints Michael and Francis,Juan de Flandes,Renaissance,8,2
"Still Life with Fruit, Glassware, and a Wanli Bowl",Willem Kalf,Baroque,5,1
Interior of a Kitchen,Willem Kalf,Baroque,2,10
"Edward Smith Stanley (1752-1834), Twelfth Earl of Derby, Elizabeth, Countess of Derby (Lady Elizabeth Hamilton, 1753-1797), and Their Son (Edward Smith Stanley, 1775-1851)",Angelica Kauffmann,Neoclassicism,9,1
The Sorrow of Telemachus,Angelica Kauffmann,Neoclassicism,8,2
Telemachus and the Nymphs of Calypso,Angelica Kauffmann,Neoclassicism,8,1
Italian Garden,Friedrich August von Kaulbach,Impressionism,5,9
The Lacemaker,Bernhard Keil,Baroque,8,6
A Mountainous Landscape with a Waterfall,Kerstiaen de Keuninck,Renaissance,8,3
A Musician and His Daughter,Thomas de Keyser,Baroque,6,8
Mada Primavesi (1903-2000),Gustav Klimt,Expressionism,9,1
Serena Pulitzer Lederer (1867-1943),Gustav Klimt,Impressionism,9,3
Girl Building a House of Cards,Thomas Frye,Realism,7,3
"Charles Beauclerk (1670-1726), Duke of St. Albans",Sir Godfrey Kneller,Baroque,9,1
Lady Mary Berkeley,Sir Godfrey Kneller,Baroque,6,5
"Valdemar Hjartvar Kobke (1813-1893), the Artist's Brother",Christen Kobke,Romanticism,5,5
"Winter Landscape, Holland",Barend Cornelis Koekkoek,Romanticism,4,6
Sunset on the Rhine,Barend Cornelis Koekkoek,Realism,8,5
Hugo van der Goes Making a Portrait of Mary of Burgundy,Wilhelm (Guillaume) Koller,Impressionism,7,1
A Panoramic Landscape with a Country Estate,Philips Koninck,Baroque,10,1
An Extensive Wooded Landscape,Philips Koninck,Baroque,8,3
Wide River Landscape,Philips Koninck,Baroque,4,2
Red Sunset,Arkhyp Kuindzhi (Arkhip Ivanovich Kuindzhi),Expressionism,10,10
Portrait of a Young Man; (reverse) Girl Making a Garland,Hans Suss von Kulmbach,Renaissance,1,1
The Ascension of Christ,Hans Suss von Kulmbach,Renaissance,4,7
Allegory of Music,Laurent de La Hyre,Baroque,9,3
The Fortune-Teller,Georges de La Tour,Baroque,9,9
The Penitent Magdalen,Georges de La Tour,Baroque,9,1
"Self-Portrait with Two Pupils, Marie Gabrielle Capet (1761-1818) and Marie Marguerite Carreaux de Rosemond (died 1788)",Adelaide Labille-Guiard,Neoclassicism,10,4
Apollo and Aurora,Gerard de Lairesse,Baroque,10,8
"Copy after Rubens's ""Wolf and Fox Hunt""",Sir Edwin Henry Landseer,Romanticism,5,6
Portrait of a Woman and an Enslaved Servant,Nicolas de Largillierre (or Largilliere),Baroque,9,4
Andre Francois Alloys de Theys d'Herculais (1692-1779),Nicolas de Largillierre (or Largilliere),Baroque,9,5
"The Calmady Children (Emily, 1818-?1906, and Laura Anne, 1820-1894)",Sir Thomas Lawrence,Romanticism,7,1
"Elizabeth Farren (born about 1759, died 1829), Later Countess of Derby",Sir Thomas Lawrence,Neoclassicism,10,4
Lady Maria Conyngham (died 1843),Sir Thomas Lawrence,Romanticism,7,4
The Rape of Tamar,Eustache Le Sueur,Baroque,10,7
Catania and Mount Etna,Edward Lear,Realism,3,8
A Masked Ball in Bohemia,Andreas Altomonte,Baroque,6,1
General Garibaldi's Residence at Caprera,Frederick Richard Lee,Realism,9,1
Vertumnus and Pomona,Thomas Lefebure,Baroque,1,2
Graziella,Jules-Joseph Lefebvre,Impressionism,10,10
Peasant Girl with a White Headcloth,Wilhelm Leibl,Impressionism,2,1
Lucia,"Frederic, Lord Leighton",Realism,3,9
Lachrymae,"Frederic, Lord Leighton",Impressionism,8,1
Choosing the Dinner,Alexandre-Louis Leloir,Impressionism,3,1
Study for a Portrait of a Woman,Sir Peter Lely (Pieter van der Faes),Baroque,6,1
The Interior of an Atelier of a Woman Painter,Marie Victoire Lemoine,Neoclassicism,9,1
"Marion Lenbach (1892-1947), the Artist's Daughter",Franz von Lenbach,Impressionism,9,3
Prince Regent Luitpold of Bavaria (1821-1912),Franz von Lenbach,Expressionism,6,4
"Auction Sale in Clinton Hall, New York, 1876",Ignacio de Leon y Escosura,Impressionism,6,4
The Organ Rehearsal,Henry Lerolle,Impressionism,10,4
The Grape Harvest,Leon-Augustin Lhermitte,Impressionism,10,9
Among the Humble,Leon-Augustin Lhermitte,Expressionism,10,10
The Chess Players,Liberale da Verona,Renaissance,3,7
The Ropewalk in Edam,Max Liebermann,Expressionism,8,1
Prince Klemens Wenzel Lothar von Metternich (1773-1859),Friedrich Johann Gottlieb Lieder,Romanticism,2,1
Peasants Dancing,Johannes Lingelbach,Baroque,7,1
Battle Scene,Johannes Lingelbach,Baroque,9,9
Tobit Burying the Dead,Andrea di Lione,Baroque,10,1
The Virgin of the Nativity,Filippino Lippi,Renaissance,2,8
Madonna and Child Enthroned with Two Angels,Fra Filippo Lippi,Renaissance,8,2
Portrait of a Woman with a Man at a Casement,Fra Filippo Lippi,Renaissance,5,3
Saint Lawrence Enthroned with Saints and Donors,Fra Filippo Lippi,Renaissance,9,1
The Meeting,Pietro Longhi (Pietro Falca),Baroque,5,9
The Temptation,Pietro Longhi (Pietro Falca),Baroque,5,8
Saint Catherine of Alexandria,Pietro Lorenzetti,Gothic,5,1
Madonna Adoring the Child with the Infant Saint John the Baptist and an Angel,Lorenzo di Credi (Lorenzo d'Andrea d'Oderigo),Renaissance,7,1
Abraham,Lorenzo Monaco (Piero di Giovanni),Renaissance,5,8
David,Lorenzo Monaco (Piero di Giovanni),Renaissance,5,10
Moses,Lorenzo Monaco (Piero di Giovanni),Renaissance,5,7
Noah,Lorenzo Monaco (Piero di Giovanni),Renaissance,5,8
Brother Gregorio Belo of Vicenza,Lorenzo Lotto,Renaissance,7,1
"Portrait of a Man, Said to Be James Madison (1751-1836)",Annibal Christian Loutherbourg,Neoclassicism,1,1
"Morning, Interior",Maximilien Luce,Impressionism,7,1
Samuel P. Avery (1822-1904),Raimundo de Madrazo y Garreta,Impressionism,5,1
"Masquerade Ball at the Ritz Hotel, Paris",Raimundo de Madrazo y Garreta,Expressionism,9,1
Girls at a Window,Raimundo de Madrazo y Garreta,Impressionism,6,7
"Ingena Rotterdam (died 1704), Betrothed of Admiral Jacob Binkes",Nicolaes Maes,Baroque,3,1
Young Woman Peeling Apples,Nicolaes Maes,Baroque,5,1
The Tame Magpie,Alessandro Magnasco,Baroque,6,2
The Peddler,Vladimir Egorovich Makovsky,Impressionism,2,9
Sebastian Andorfer (1469-1537),Hans Maler,Renaissance,4,1
Ulrich Fugger the Younger (1490-1525),Hans Maler,Renaissance,3,1
A Circus Boy,Antonio Mancini,Impressionism,9,3
The Spanish Singer,Edouard Manet,Realism,9,7
Mademoiselle V. . . in the Costume of an Espada,Edouard Manet,Realism,10,1
The Brioche,Edouard Manet,Realism,7,9
Boating,Edouard Manet,Impressionism,9,9
Boy with a Sword,Edouard Manet,Realism,9,1
"Copy after Delacroix's ""Bark of Dante""",Edouard Manet,Realism,3,1
The Dead Christ with Angels,Edouard Manet,Realism,10,1
Fishing,Edouard Manet,Realism,8,9
The Funeral,Edouard Manet,Realism,7,9
George Moore (1852-1933),Edouard Manet,Impressionism,4,1
George Moore (1852-1933) at the Cafe,Edouard Manet,Impressionism,7,1
Head of Jean-Baptiste Faure (1830-1914),Edouard Manet,Impressionism,4,1
Jean-Baptiste Faure (1830-1914),Edouard Manet,Impressionism,5,1
"Madame Edouard Manet (Suzanne Leenhoff, 1829-1906)",Edouard Manet,Impressionism,8,1
Mademoiselle Isabelle Lemonnier (1857-1926),Edouard Manet,Impressionism,5,1
"Emilie-Louise Delabigne (1848-1910), Called Valtesse de la Bigne",Edouard Manet,Impressionism,4,1
A Matador,Edouard Manet,Realism,10,8
Peonies,Edouard Manet,Realism,4,8
