Title,Artist,Period,Complexity,Relevance
Mont Sainte-Victoire,Paul Cezanne,Impressionism,7,7
Rocks at Fontainebleau,Paul Cezanne,Impressionism,8,7
Still Life with Apples and Pears,Paul Cezanne,Impressionism,5,7
Gustave Boyer (b. 1840) in a Straw Hat,Paul Cezanne,Impressionism,4,6
"Madame Cezanne (Hortense Fiquet, 1850-1922) in the Conservatory",Paul Cezanne,Impressionism,8,6
Two Women,Paul Gauguin,Impressionism,8,10
The Siesta,Paul Gauguin,Impressionism,9,9
Two Tahitian Women,Paul Gauguin,Impressionism,8,7
A Farm in Brittany,Paul Gauguin,Impressionism,7,1
Tahitian Landscape,Paul Gauguin,Impressionism,5,1
Still Life with Teapot and Fruit,Paul Gauguin,Impressionism,5,1
Three Tahitian Women,Paul Gauguin,Impressionism,3,1
Ia Orana Maria (Hail Mary),Paul Gauguin,Impressionism,8,1
Lighthouse at Groix,Paul Signac,Expressionism,8,4
"The Jetty at Cassis, Opus 198",Paul Signac,Expressionism,5,1
"Notre-Dame-de-la-Garde (La Bonne-Mere), Marseilles",Paul Signac,Expressionism,9,1
Study of Two Heads,Peter Paul Rubens,Baroque,6,10
Venus and Adonis,Peter Paul Rubens,Baroque,10,8
The Glorification of the Eucharist,Peter Paul Rubens,Baroque,6,6
The Holy Family with Saints Francis and Anne and the Infant Saint John the Baptist,Peter Paul Rubens,Baroque,10,5
"The Holy Family with Saint Elizabeth, Saint John, and a Dove",Peter Paul Rubens,Baroque,5,5
Wolf and Fox Hunt,Peter Paul Rubens,Baroque,10,4
"Portrait of a Woman, Probably Susanna Lunden (Susanna Fourment, 1599-1628)",Peter Paul Rubens,Baroque,6,3
Atalanta and Meleager,Peter Paul Rubens,Baroque,9,2
"Rubens, Helena Fourment (1614-1673), and Their Son Frans (1633-1678)",Peter Paul Rubens,Baroque,10,2
A Forest at Dawn with a Deer Hunt,Peter Paul Rubens,Baroque,7,1
Bellona,Rembrandt (Rembrandt van Rijn),Baroque,9,10
Flora,Rembrandt (Rembrandt van Rijn),Baroque,8,10
Woman with a Pink,Rembrandt (Rembrandt van Rijn),Baroque,8,8
Man in a Turban,Rembrandt (Rembrandt van Rijn),Baroque,9,1
"Portrait of a Man, probably a Member of the Van Beresteyn Family",Rembrandt (Rembrandt van Rijn),Baroque,8,1
"Portrait of a Woman, probably a Member of the Van Beresteyn Family",Rembrandt (Rembrandt van Rijn),Baroque,8,1
Portrait of a Young Woman with a Fan,Rembrandt (Rembrandt van Rijn),Baroque,9,1
Herman Doomer (ca. 1595-1650),Rembrandt (Rembrandt van Rijn),Baroque,6,1
The Toilet of Bathsheba,Rembrandt (Rembrandt van Rijn),Baroque,6,1
Aristotle with a Bust of Homer,Rembrandt (Rembrandt van Rijn),Baroque,10,1
Landing at Newfoundland,Robert Charles Dudley,Realism,6,10
Awaiting the Reply,Robert Charles Dudley,Realism,7,8
Making the Splice between the Shore End and the Ocean Cable,Robert Charles Dudley,Realism,6,6
"Homeward Bound: ""The Great Eastern""",Robert Charles Dudley,Realism,10,4
Grappling for the Lost Cable,Robert Charles Dudley,Realism,6,4
Landing the Shore End of the Atlantic Cable,Robert Charles Dudley,Realism,6,1
Fishing Boats on a River,Salomon van Ruysdael,Baroque,4,9
Marine,Salomon van Ruysdael,Baroque,3,9
Drawing the Eel,Salomon van Ruysdael,Baroque,8,8
A Country Road,Salomon van Ruysdael,Baroque,9,7
Ferry near Gorinchem,Salomon van Ruysdael,Baroque,9,4
Market by the Seashore,Salomon van Ruysdael,Baroque,5,1
Christ Blessing,Segna di Buonaventura,Gothic,3,10
Saint John the Evangelist,Segna di Buonaventura,Gothic,7,9
Saint Silvester Gozzolini,Segna di Buonaventura,Gothic,7,6
"Sunset, Rome",Simon Denis,Neoclassicism,2,7
Mountainous Landscape at Tivoli,Simon Denis,Neoclassicism,2,6
Cloud Study (Distant Storm),Simon Denis,Neoclassicism,2,5
Cloud Study (Early Evening),Simon Denis,Neoclassicism,2,3
Landscape near Rome during a Storm,Simon Denis,Neoclassicism,2,2
Mountainous Landscape at Vicovaro,Simon Denis,Neoclassicism,2,1
"Fortified Wall, Italy",Simon Denis,Neoclassicism,3,1
"View on the Quirinal Hill, Rome",Simon Denis,Neoclassicism,3,1
Aniene River at Tivoli,Simon Denis,Neoclassicism,3,1
"View from the Villa d'Este, Tivoli",Simon Denis,Neoclassicism,4,1
Saint Thomas,Simone Martini,Gothic,2,10
Saint Bartholomew,Simone Martini,Gothic,2,7
Saint Matthias,Simone Martini,Gothic,2,7
"William Robertson (1753-1835), Lord Robertson",Sir Henry Raeburn,Romanticism,9,5
The Drummond Children,Sir Henry Raeburn,Romanticism,10,1
George Harley Drummond (1783-1855),Sir Henry Raeburn,Romanticism,10,1
"Mrs. Richard Alexander Oswald (Louisa Johnston, ?born about 1760, died 1797)",Sir Henry Raeburn,Romanticism,9,1
William Forsyth (1749-1814),Sir Henry Raeburn,Romanticism,6,1
William Scott-Elliot of Arkleton (1811-1901),Sir Henry Raeburn,Romanticism,9,1
"Thomas (1740-1825) and Martha Neate (1741-after 1795) with His Tutor, Thomas Needham",Sir Joshua Reynolds,Neoclassicism,10,6
"George Capel, Viscount Malden (1757-1839), and Lady Elizabeth Capel (1755-1834)",Sir Joshua Reynolds,Neoclassicism,10,6
"Mrs. Lewis Thomas Watson (Mary Elizabeth Milles, 1767-1818)",Sir Joshua Reynolds,Neoclassicism,9,6
"Anne Dashwood (1743-1830), Later Countess of Galloway",Sir Joshua Reynolds,Neoclassicism,9,5
"Georgiana Augusta Frederica Elliott (1782-1813), Later Lady Charles Bentinck",Sir Joshua Reynolds,Neoclassicism,8,5
Captain George K. H. Coussmaker (1759-1801),Sir Joshua Reynolds,Neoclassicism,10,5
"Mrs. George Baldwin (Jane Maltass, 1763-1839)",Sir Joshua Reynolds,Neoclassicism,8,5
The Honorable Henry Fane (1739-1802) with Inigo Jones and Charles Blair,Sir Joshua Reynolds,Neoclassicism,10,1
John Barker (1707-1787),Sir Joshua Reynolds,Neoclassicism,10,1
"Lady Smith (Charlotte Delaval) and Her Children (George Henry, Louisa, and Charlotte)",Sir Joshua Reynolds,Neoclassicism,9,1
Saint Julian,Taddeo Gaddi,Gothic,4,9
Madonna and Child Enthroned with Saints,Taddeo Gaddi,Gothic,10,1
A Village in a Valley,Theodore Rousseau,Realism,3,9
A River Landscape,Theodore Rousseau,Realism,5,8
A River in a Meadow,Theodore Rousseau,Realism,5,7
A Meadow Bordered by Trees,Theodore Rousseau,Realism,5,4
A Stream in the Auvergne,Theodore Rousseau,Realism,3,4
An Old Chapel in a Valley,Theodore Rousseau,Realism,3,4
"The Edge of the Woods at Monts-Girard, Fontainebleau Forest",Theodore Rousseau,Realism,8,3
Sunset near Arbonne,Theodore Rousseau,Realism,7,2
An Early Summer Morning in the Forest of Fontainebleau,Theodore Rousseau,Realism,4,1
The Forest in Winter at Sunset,Theodore Rousseau,Realism,10,1
Gudvangen,Thomas Fearnley,Romanticism,2,9
"Sunset, Sorrento",Thomas Fearnley,Romanticism,2,8
Study of Water and Plants,Thomas Fearnley,Romanticism,4,8
Monolith and Trees,Thomas Fearnley,Romanticism,1,5
Moonlit Harbor in Southern Italy,Thomas Fearnley,Romanticism,1,2
"Escarpment with Tree Stumps, Romsdal",Thomas Fearnley,Romanticism,3,1
A Boy with a Cat-Morning,Thomas Gainsborough,Neoclassicism,9,7
Mrs. Grace Dalrymple Elliott (1754?-1823),Thomas Gainsborough,Neoclassicism,10,5
Charles Rousseau Burney (1747-1819),Thomas Gainsborough,Neoclassicism,7,1
"Portrait of a Young Woman, Called Miss Sparrow",Thomas Gainsborough,Neoclassicism,6,1
Cottage Children (The Wood Gatherers),Thomas Gainsborough,Neoclassicism,9,1
Wooded Upland Landscape,Thomas Gainsborough,Neoclassicism,9,1
The Painter's Daughter Mary (1750-1826),Thomas Gainsborough,Neoclassicism,4,1
"Moonlight, Strandgade 30",Vilhelm Hammershoi,Expressionism,4,7
Self-Portrait at Spurveskjul,Vilhelm Hammershoi,Expressionism,8,1
Irises,Vincent van Gogh,Impressionism,8,10
Shoes,Vincent van Gogh,Impressionism,5,10
Roses,Vincent van Gogh,Impressionism,8,10
Cypresses,Vincent van Gogh,Impressionism,8,10
Sunflowers,Vincent van Gogh,Impressionism,5,9
Oleanders,Vincent van Gogh,Impressionism,6,7
The Flowering Orchard,Vincent van Gogh,Impressionism,6,2
Bouquet of Flowers in a Vase,Vincent van Gogh,Impressionism,6,1
"First Steps, after Millet",Vincent van Gogh,Impressionism,7,1
"L'Arlesienne: Madame Joseph-Michel Ginoux (Marie Julien, 1848-1911)",Vincent van Gogh,Impressionism,8,1
The Antique Shop,Walter Richard Sickert,Expressionism,2,10
The Cigarette (Jeanne Daurmont),Walter Richard Sickert,Expressionism,4,1
Reclining Nude (Thin Adeline),Walter Richard Sickert,Expressionism,4,1
"Maple Street, London",Walter Richard Sickert,Expressionism,6,1
